rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
2,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,Chicago to Manchester via Heathrow,01-10-2023,2,3,1,2,2,-1
2,United Kingdom,A320,A320,Business,Business,Business Class,London Heathrow to Munich,London Heathrow to Munich,01-09-2023,2,1,2,1,1,-1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Heathrow to Istanbul,Heathrow to Istanbul,01-09-2023,2,3,2,1,1,-1
3,United Kingdom,A320,A320,Business,Business,Economy Class,London to Geneva,London to Geneva,01-10-2023,4,4,2,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Athens to London,Athens to London,01-09-2023,1,1,1,1,1,1
3,Italy,Unknown,,Business,Business,Economy Class,Milan to San Jose via London,Milan to San Jose via London,01-09-2023,3,3,2,1,1,4
4,United States,777-300 and A320,777-300 and A320,Couple Leisure,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,Dallas to Dubrovnik via Heathrow,01-09-2023,1,4,4,3,2,3
1,United Kingdom,A321,A321,Business,Business,Business Class,London to Seville,London to Seville,01-09-2023,2,1,1,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Tokyo,London Heathrow to Tokyo,01-09-2023,1,1,1,2,1,3
1,United States,Unknown,,Solo Leisure,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,Miami to Dublin via London Heathrow,01-08-2023,1,3,2,1,1,1
1,United States,Unknown,,Business,Business,Business Class,Prague to San Francisco via London,Prague to San Francisco via London,01-09-2023,1,3,3,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,London to Glasgow,London to Glasgow,01-09-2023,1,1,1,1,1,1
1,France,Unknown,,Family Leisure,Family Leisure,Economy Class,San Diego to Marseille via London ,San Diego to Marseille via London ,01-08-2023,3,2,3,1,3,3
1,Germany,A350,A350,Business,Business,Premium Economy,Hamburg to Las Vegas via London,Hamburg to Las Vegas via London,01-08-2023,2,2,2,1,1,3
1,Switzerland,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Los Angeles,London to Los Angeles,01-07-2023,-1,-1,-1,-1,1,-1
6,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Porto,London Heathrow to Porto,01-09-2023,3,4,3,4,4,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Dalaman,London to Dalaman,01-09-2023,-1,-1,-1,3,1,-1
2,South Africa,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Johannesburg to Milan via London,Johannesburg to Milan via London,01-09-2023,-1,-1,-1,-1,2,-1
1,Canada,Unknown,,Business,Business,Business Class,Madrid to Vancouver via London,Madrid to Vancouver via London,01-04-2023,3,3,-1,1,1,-1
8,United Kingdom,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Business Class,London to Santiago,London to Santiago,01-09-2023,3,5,4,2,5,-1
1,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Faro,London Heathrow to Faro,01-09-2023,-1,-1,-1,1,1,-1
1,Kuwait,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Kuwait to Lisbon via London,Kuwait to Lisbon via London,01-09-2023,3,1,1,3,3,1
1,Germany,A320,A320,Couple Leisure,Couple Leisure,Economy Class,London to Munich,London to Munich,01-09-2023,1,3,1,1,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Frankfurt to London City,Frankfurt to London City,01-09-2023,1,-1,-1,1,1,-1
8,Iceland,A321,A321,Couple Leisure,Couple Leisure,Business Class,London to Keflavik,London to Keflavik,01-08-2023,3,4,3,4,4,-1
8,Iceland,Boeing 777-200,Boeing 777-200,Couple Leisure,Couple Leisure,Business Class,Mumbai to London,Mumbai to London,01-08-2023,4,3,3,4,4,3
2,United Kingdom,Unknown,,Business,Business,Premium Economy,Houston to London Heathrow,Houston to London Heathrow,01-09-2023,2,4,3,4,1,3
1,Australia,A380,A380,Solo Leisure,Solo Leisure,Business Class,London to Miami,London to Miami,01-09-2023,1,1,2,3,1,1
1,United Kingdom,Boeing 777,Boeing 777,Unknown,,Economy Class,Los Angeles to London,Los Angeles to London,01-08-2023,1,1,1,1,1,1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,New York JFK to Malaga via London,New York JFK to Malaga via London,01-06-2023,1,3,-1,1,1,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Chicago to Rome via London,Chicago to Rome via London,01-07-2023,3,1,1,1,1,1
1,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Business Class,London to Malaga,London to Malaga,01-08-2023,1,1,1,1,1,1
1,Germany,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Frankfurt to London Heathrow,Frankfurt to London Heathrow,01-08-2023,1,1,-1,1,1,-1
1,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Tenerife to Gatwick,Tenerife to Gatwick,01-08-2023,1,3,1,1,1,-1
3,United Kingdom,A320,A320,Business,Business,Business Class,London Heathrow to Malaga ,London Heathrow to Malaga ,01-08-2023,2,2,2,1,2,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Newark to London,Newark to London,01-06-2023,-1,-1,-1,-1,1,-1
1,United Kingdom,Unknown,,Business,Business,Business Class,London to Johannesburg,London to Johannesburg,01-08-2023,3,2,-1,2,1,-1
8,United States,Boeing 777-300,Boeing 777-300,Couple Leisure,Couple Leisure,Business Class,LHR to LAX,LHR to LAX,01-08-2023,4,5,3,5,4,5
1,Canada,Unknown,,Family Leisure,Family Leisure,Economy Class,Delhi to Vancouver via London,Delhi to Vancouver via London,01-12-2022,1,1,-1,1,1,-1
1,Denmark,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Copenhagen to London,Copenhagen to London,01-06-2023,-1,-1,-1,-1,1,-1
4,United Kingdom,A320neo,A320neo,Solo Leisure,Solo Leisure,Business Class,Larnaca to London Heathrow,Larnaca to London Heathrow,01-07-2023,3,3,1,3,1,-1
7,United States,A380,A380,Family Leisure,Family Leisure,Economy Class,Washington to London,Washington to London,01-08-2023,4,5,3,1,4,2
8,United Kingdom,A380,A380,Family Leisure,Family Leisure,Business Class,London to Miami,London to Miami,01-08-2023,4,5,5,4,4,5
2,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Paris,London to Paris,01-08-2023,1,1,-1,1,1,-1
2,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Algiers,London to Algiers,01-08-2023,1,1,1,1,1,1
